IPORateID,ServiceRateID,IPOID
3070,9005,11506
3080,9005,11510
3090,9005,11545
3100,9005,11602
3110,9005,11650
3120,9005,11657
3130,9005,11669
3140,9005,11681
3150,9005,11938
3160,9005,12029
3170,9005,12049
3180,9005,12338
3190,9005,12383
3200,9005,12428
3210,9005,12430
3220,9005,12552
3230,9005,12555
3240,9005,12569
3250,9005,12605
3260,9005,12606
3270,9005,12716
3280,9005,12718
3290,9005,12719
3300,9005,12728
3310,9005,12734
3320,9005,12766
3330,9005,12826
3340,9005,12830
3350,9005,12880
3360,9005,12939
3370,9005,12950
3380,9005,12955
3390,9005,12957
3400,9005,12958
3410,9005,13018
3420,9005,13019
3430,9005,13021
3440,9005,13022
3450,9005,13023
3460,9005,13134
3470,9005,13807
3480,9005,13808
3490,9005,13811
3500,9005,14118
3510,9005,14124
3520,9005,14125
3530,9005,14131
3540,9005,14151
3550,9005,14152
3560,9005,14226
3570,9005,14227
3580,9005,14228
3590,9005,14434
3600,9005,14435
3610,9005,14436
3620,9005,14484
3630,9005,14496
3640,9005,14607
3650,9005,14613
3660,9005,14726
3670,9005,14727
3680,9005,14729
3690,9005,14733
3700,9005,14741
3710,9005,14742
3720,9005,14745
3730,9005,14748
3740,9005,14780
3750,9005,14786
3760,9005,14816
3770,9005,14840
3780,9005,14842
3790,9005,14845
3800,9005,14846
3810,9005,14850
3820,9005,14852
3830,9005,14987
3840,9005,14989
3850,9005,15024
3860,9005,15025
3870,9005,15116
3880,9005,15119
3890,9005,15120
3900,9005,15125
3910,9005,15185
3920,9005,15231
3930,9005,15232
3940,9005,15233
3950,9005,15416
3960,9005,15418
3970,9005,15419
3980,9005,15420
3990,9005,15548
4000,9005,15550
4010,9005,15551
4020,9005,15552
4030,9005,15554
4040,9005,15727
4050,9005,15728
4060,9005,15729
4070,9005,15730
4080,9005,15731
4090,9005,15732
4100,9005,15733
4110,9005,15779
4120,9005,15829
4130,9005,15830
4140,9005,15831
4150,9005,15832
4160,9005,15833
4170,9005,15870
4180,9005,15871
4190,9005,15872
4200,9005,15873
4210,9005,15887
4220,9005,15934
4230,9005,15936
4240,9005,15937
4250,9006,10574
4260,9006,10575
4270,9006,10581
4280,9006,10593
4290,9006,10603
4300,9006,10606
4310,9006,10611
4320,9006,10755
4330,9006,10759
4340,9006,10760
4350,9006,11061
4360,9006,11062
4370,9006,11063
4380,9006,11066
4390,9006,11093
4400,9006,11097
4410,9006,11115
4420,9006,11168
4430,9006,11169
4440,9006,11170
4450,9006,11171
4460,9006,11172
